strain,date,url,mutational_fitness,S1_mutations,country,recency,pango_lineage,emerging_lineage,region,clade_membership,genbank_accession,current_frequency,division,epiweek,host,author,accession,submitting_lab,originating_lab,logistic_growth
USA/USA-WA1/2020,1/20/20,,-0.06,,USA,Older,A,,North America,19B,MT246667,,Washington,202004,Homo sapiens,Thornburg et al,,FDA-ARGOS Database,BEI Resources/American Type and Culture Collection (ATCC),
USA/AZ-QDX-2384/2020,3/17/20,,-0.14,1,USA,Older,A.1,,North America,19B,MW191062,,Arizona,202012,Homo sapiens,Rosenthal et al B,,Quest Diagnostics,Quest Diagnostics,
USA/WA-S2/2020,2/21/20,,-0.13,,USA,Older,A.1,,North America,19B,MT598633,,Washington,202008,Homo sapiens,Nickerson et al A,,Seattle Flu Study submission group,Seattle Flu Study,
USA/WA-S89/2020,3/1/20,,-0.14,1,USA,Older,A.1,,North America,19B,MT627233,,Oregon,202009,Homo sapiens,Nickerson et al B,,Seattle Flu Study submission group,Washington State Department of Health,
USA/OSPHL01469/2020,4/30/20,,-0.15,1,USA,Older,A.1,,North America,19B,MZ682061,,Oregon,202018,Homo sapiens,Razzaque et al A,,,,
USA/NC-CDC-03068181-001/2020,3/7/20,,-0.13,,USA,Older,A.1,,North America,19B,MT325591,,North Carolina,202010,Homo sapiens,Li et al B,,,,
AUS/VIC317/2020,3/25/20,,-0.13,,Australia,Older,A.1,,Oceania,19B,MT451209,,Victoria,202013,Homo sapiens,Seemann et al B,,The Peter Doherty Institute for Infection and Immunity,Microbiological Diagnostic Unit Public Health Laboratory,
USA/USA-KY-9E09/2020,3/19/20,,-0.13,,USA,Older,A.1,,North America,19B,MT365027,,Kentucky,202012,Homo sapiens,Rouchka et al A,,,,
NZL/20VR2014/2020,4/2/20,,-0.14,,New Zealand,Older,A.1,,Oceania,19B,OK426566,,Wellington,202014,Homo sapiens,Ren et al D,,Institute of Environmental Science and Research,Wellington SCL (WN),
NZL/20VR2034/2020,4/2/20,,-0.14,,New Zealand,Older,A.1,,Oceania,19B,OK427142,,Wellington,202014,Homo sapiens,Ren et al E,,Institute of Environmental Science and Research,Wellington SCL (WN),
AUS/TAS64/2020,3/15/20,,-0.14,,Australia,Older,A.1,,Oceania,19B,MT973398,,Tasmania,202011,Homo sapiens,Sait et al K,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
NZL/20CV0266/2020,3/19/20,,-0.11,,New Zealand,Older,A.1,,Oceania,19B,OK426408,,Canterbury,202012,Homo sapiens,Ren et al F,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NZL/20CV0303/2020,3/31/20,,-0.14,,New Zealand,Older,A.1,,Oceania,19B,OK426743,,Hawkes Bay,202014,Homo sapiens,Ren et al G,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
USA/CA-QDX-2737/2020,3/17/20,,-0.11,1,USA,Older,A.1,,North America,19B,MW191450,,California,202012,Homo sapiens,Rosenthal et al C,,Quest Diagnostics,Quest Diagnostics,
AUS/VIC528/2020,3/25/20,,-0.11,1,Australia,Older,A.1,,Oceania,19B,MT451362,,Victoria,202013,Homo sapiens,Seemann et al C,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
USA/CA-CZB-1751/2020,3/26/20,,-0.13,,USA,Older,A.1,,North America,19B,MT671810,,California,202013,Homo sapiens,Pinsky et al,,,,
PER/covper066/2020,3/17/20,,-0.13,,Peru,Older,A.1,,South America,19B,MW030206,,Peru,202012,Homo sapiens,Juscamayta et al E,,,,
AUS/VIC13/2020,2/1/20,,-0.06,,Australia,Older,A,,Oceania,19B,MT450930,,Victoria,202005,Homo sapiens,Seemann et al D,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
PRY/WOR12903A659_202103274_2-4710620/2020,4/10/20,,-0.06,,Paraguay,Older,A.5,,South America,19B,ON017230,,Paraguay,202015,Homo sapiens,Vazquez et al F,,,,
PRY/WOR12903A600_202103266_2-4710511/2020,3/9/20,,0.01,,Paraguay,Older,A.5,,South America,19B,ON017219,,Paraguay,202011,Homo sapiens,Vazquez et al G,,,,
LR884170,3/7/20,,-0.06,,Spain,Older,A.5,,Europe,19B,LR884170,,Spain,202010,Homo sapiens,Viedma et al A,,HOSPITAL UNIVERSITARY 12 DE OCTUBRE,Hospital Universitario Ramon y Cajal,
COL/79256_Antioquia/2020,3/12/20,,-0.06,,Colombia,Older,A.5,,South America,19B,MT256924,,Antioquia,202011,Homo sapiens,Mercado-Reyes et al,,,,
URY/Mdeo-1/2020,3/14/20,,-0.06,,Uruguay,Older,A.5,,South America,19B,MT466071,,Uruguay,202011,Homo sapiens,Panzera et al A,,,,
AUS/VIC07/2020,2/9/20,,-0.04,,Australia,Older,A,,Oceania,19B,MT450924,,Victoria,202006,Homo sapiens,Seemann et al E,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
MLI/M00959/2020,6/11/20,,0.04,1,Mali,Older,A.21,,Africa,19B,OL448870,,Mali,202024,Homo sapiens,Dara et al,,,,
SLE/KGH-G-8626/2020,4/11/20,,-0.02,,Sierra Leone,Older,A.12,,Africa,19B,MT872492,,Sierra Leone,202015,Homo sapiens,Goba et al A,,Kenema Government Hospital,Kenema Government Hospital,
SLE/KGH-G-8625/2020,4/11/20,,-0.02,,Sierra Leone,Older,A.12,,Africa,19B,MT872496,,Sierra Leone,202015,Homo sapiens,Goba et al B,,Kenema Government Hospital,Kenema Government Hospital,
MLI/UCRC31/2020,4/1/20,,0.02,,Mali,Older,A,,Africa,19B,MW474741,,Mali,202014,Homo sapiens,Diarra et al A,,,,
EGY/CUNCI-HGC7I02/2020,7/20/20,,0.05,1,Egypt,Older,A,,Africa,19B,MT800016,,Egypt,202030,Homo sapiens,Zekri et al A,,,,
TUN/COV0010-12/2020,3/19/20,,-0.04,,Tunisia,Older,A,,Africa,19B,MT499215,,Tunisia,202012,Homo sapiens,Fares et al A,,,,
ITA/PA-IZSBM193-72_2020/2020,6/30/20,,-0.06,,Italy,Older,A,,Europe,19B,MW340798,,Sicily,202027,Homo sapiens,Tramuto et al,,,,
BEN/1950/2020,4/16/20,,-0.04,,Benin,Older,A,,Africa,19B,MT653079,,Benin,202016,Homo sapiens,Sander et al A,,,,
BEN/2012/2020,4/16/20,,-0.04,,Benin,Older,A,,Africa,19B,MT653080,,Benin,202016,Homo sapiens,Sander et al B,,,,
GHA/84162_S45/2020,4/26/20,,-0.04,,Ghana,Older,A,,Africa,19B,MT890242,,Ghana,202017,Homo sapiens,Ngoi et al A,,,,
AUS/QLD02/2020,7/21/20,,-0.04,,Australia,Older,A,,Oceania,19B,MW772455,,Australia,202030,Homo sapiens,Parry et al A,,,,
GAB/56_Gabon/2020,3/15/20,,-0.04,,Gabon,Older,A,,Africa,19B,OM731936,,Gabon,202011,Homo sapiens,Lekana-Douki et al A,,,,
BEN/843/2020,3/20/20,,-0.04,,Benin,Older,A,,Africa,19B,MT653078,,Benin,202012,Homo sapiens,Sander et al C,,,,
NZL/20CV0317/2020,4/2/20,,-0.04,,New Zealand,Older,A,,Oceania,19B,OK426481,,Hawkes Bay,202014,Homo sapiens,Ren et al H,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
GHA/3177_S12/2020,3/31/20,,-0.04,,Ghana,Older,A.11,,Africa,19B,MT890219,,Ghana,202014,Homo sapiens,Ngoi et al B,,,,
GHA/34928_S21/2020,5/24/20,,0.01,,Ghana,Older,A.11,,Africa,19B,MT890229,,Ghana,202021,Homo sapiens,Ngoi et al C,,,,
NZL/20VR3131/2020,6/17/20,,-0.04,,New Zealand,Older,A.11,,Oceania,19B,OK433260,,New Zealand,202025,Homo sapiens,Ren et al I,,Institute of Environmental Science and Research,Wellington SCL (WN),
ETH/S13/2021,2/2/21,,0.03,2,Ethiopia,Older,A,,Africa,19B,OL840814,,Addis Ababa,202105,Homo sapiens,Bitew et al A,,,,
BEN/461/2020,3/18/20,,0,,Benin,Older,A,,Africa,19B,MT653081,,Benin,202012,Homo sapiens,Sander et al D,,,,
UZB/hCoV-19-Uzb-CGB-25/2020,12/8/20,,0.03,2,Uzbekistan,Older,A.24,,Asia,19B,MW853569,,Tashkent,202050,Homo sapiens,Ayubov et al A,,,,
KEN/C14075/2020,6/4/20,,-0.01,,Kenya,Older,A,,Africa,19B,MW751362,,Kenya,202023,Homo sapiens,Githinji et al A,,,,
KEN/C29517/2020,7/7/20,,0,,Kenya,Older,A.25,,Africa,19B,MW751355,,Kenya,202028,Homo sapiens,Githinji et al B,,,,
UGA/MUWRP-KIR200040S/2020,8/1/20,,-0.01,,Uganda,Older,A.25,,Africa,19B,OM811375,,Uganda,202031,Homo sapiens,Byarugaba et al A,,,,
UGA/MAKCHScov6/2020,10/1/20,,0.09,3,Uganda,Older,A.23,,Africa,19B,MZ287350,,Uganda,202040,Homo sapiens,Mwesigwa et al A,,,,
UGA/MAKCHScov2/2020,11/5/20,,0.12,4,Uganda,Older,A.23.1,,Africa,19B,MZ287347,,Uganda,202045,Homo sapiens,Mwesigwa et al B,,,,
UGA/MUWRP-KIR200185S/2020,12/10/20,,0.12,4,Uganda,Older,A.23.1,,Africa,19B,OM811372,,Uganda,202050,Homo sapiens,Byarugaba et al B,,,,
UGA/MAKCHScov20/2021,1/14/21,,0.12,4,Uganda,Older,A.23.1,,Africa,19B,MZ287355,,Uganda,202102,Homo sapiens,Mwesigwa et al C,,,,
UGA/MUWRP-JIN210062S/2021,1/28/21,,0.1,5,Uganda,Older,A.23.1,,Africa,19B,OM811354,,Uganda,202104,Homo sapiens,Byarugaba et al C,,,,
UGA/MUWRP-JIN200254S/2020,11/24/20,,0.13,4,Uganda,Older,A.23.1,,Africa,19B,OM811356,,Uganda,202048,Homo sapiens,Byarugaba et al D,,,,
UGA/MUWRP-KIR200176S/2020,12/2/20,,0.12,4,Uganda,Older,A.23.1,,Africa,19B,OM811353,,Uganda,202049,Homo sapiens,Byarugaba et al E,,,,
UGA/MUWRP-KIR200120S/2020,11/3/20,,0.12,5,Uganda,Older,A.23.1,,Africa,19B,OM811368,,Uganda,202045,Homo sapiens,Byarugaba et al F,,,,
UGA/MAKCHScov11/2021,1/26/21,,0.12,4,Uganda,Older,A.23.1,,Africa,19B,MZ287351,,Uganda,202104,Homo sapiens,Mwesigwa et al D,,,,
UGA/MUWRP-MUL016N/2020,12/13/20,,0.17,5,Uganda,Older,A.23.1,,Africa,19B,OM811373,,Uganda,202050,Homo sapiens,Byarugaba et al G,,,,
UGA/MUWRP-MUL200469/2020,12/9/20,,0.11,5,Uganda,Older,A.23.1,,Africa,19B,OM811366,,Uganda,202050,Homo sapiens,Byarugaba et al H,,,,
UGA/MAKCHScov30/2021,1/14/21,,0.13,7,Uganda,Older,A.23.1,,Africa,19B,MZ287352,,Uganda,202102,Homo sapiens,Mwesigwa et al E,,,,
IND/29/2020,1/28/20,,0.03,2,India,Older,B,,Asia,19A,MT012098,,Kerala,202005,Homo sapiens,Yadav et al,,,,
AUS/VIC14/2020,2/3/20,,,,Australia,Older,B,,Oceania,19A,MT450931,,Victoria,202006,Homo sapiens,Seemann et al F,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
SWE/01/2020,2/8/20,,-0.11,,Sweden,Older,B,,Europe,19A,MT093571,,Sweden,202006,Homo sapiens,Bengner et al,,,,
AUS/VIC01/2020,1/26/20,,-0.1,1,Australia,Older,B,,Oceania,19A,MT007544,,Victoria,202004,Homo sapiens,Caly et al F,,The Peter Doherty Institute for Infection and Immunity,Monash Medical Centre,
HongKong/43_0202/2020,2/11/20,,-0.1,,Hong Kong,Older,B.43,,Asia,19A,MT232685,,Hong Kong,202007,Homo sapiens,Leung et al,,,,
THA/SI200383-NT/2020,1/24/20,,-0.1,,Thailand,Older,B,,Asia,19A,MT447156,,Thailand,202004,Homo sapiens,Rodpan et al B,,,,
ITA/INMI1/2020,1/31/20,,-0.1,,Italy,Older,B,,Europe,19A,MT066156,,Italy,202005,Homo sapiens,Capobianchi et al,,,,
AUS/VIC02/2020,1/25/20,,-0.1,,Australia,Older,B,,Oceania,19A,MT450919,,Victoria,202004,Homo sapiens,Seemann et al G,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
HongKong/HKPU-00026/2020,1/31/20,,-0.1,,Hong Kong,Older,B,,Asia,19A,MZ266375,,Hong Kong,202005,Homo sapiens,Siu et al A,,,,
AUS/VIC03/2020,1/26/20,,-0.1,,Australia,Older,B,,Oceania,19A,MT450920,,Victoria,202004,Homo sapiens,Seemann et al H,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
NPL/61-TW/2020,1/14/20,,,,Nepal,Older,B,,Asia,19A,MT072688,,Nepal,202003,Homo sapiens,Bastola et al,,,,
Finland/FIN-1-VE6-P1/2020,1/30/20,,0.04,2,Finland,Older,B,,Europe,19A,MW718191,,Finland,202005,Homo sapiens,Cantuti-Castelvetri et al,,,,
VNM/nCoV-19-02S/2020,1/23/20,,0,,Vietnam,Older,B,,Asia,19A,MT192773,,Southeast Region,202004,Homo sapiens,Nguyen et al A,,,,
NZL/20CV0271/2020,3/24/20,,-0.09,,New Zealand,Older,B.3,,Oceania,19A,OK426510,,Canterbury,202013,Homo sapiens,Ren et al J,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
TWN/CGMH-CGU-01/2020,1/26/20,,,,Taiwan,Older,B,,Asia,19A,MT192759,,Taiwan,202004,Homo sapiens,Tsao et al A,,,,
OM065354,2/2/20,,,,China,Older,B,,Asia,19A,OM065354,,Anhui,202005,Homo sapiens,Chang et al,,,,
USA/OK-QDX-93/2020,3/14/20,,0,,USA,Older,B,,North America,19A,MT627436,,Oklahoma,202011,Homo sapiens,Rosenthal et al D,,,,
CHN/YN-0306-466/2020,3/7/20,,-0.01,,China,Older,B,,Asia,19A,MT396241,,China,202010,Homo sapiens,Sun et al,,,,
NZL/20CV0291/2020,3/28/20,,-0.01,,New Zealand,Older,B,,Oceania,19A,OK426798,,Canterbury,202013,Homo sapiens,Ren et al K,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
USA/WI-UW-266/2020,4/8/20,,0,,USA,Older,B,,North America,19A,MT429188,,Wisconsin,202015,Homo sapiens,Moreno et al A,,,,
EGY/CCHE57357_W3_A098/2021,4/28/21,,-0.01,,Egypt,Older,B,,Africa,19A,OK001892,,Egypt,202117,Homo sapiens,Hatem et al A,,,,
Mesocricetusauratus/HKG/15_P2/2020,5/16/20,,0.01,,Hong Kong,Older,B,,Asia,19A,MT835141,,Hong Kong,202020,Mesocricetus auratus,Chen et al,,,,
Rodent/CHN/C57MA14/2020,8/27/20,,0,2,China,Older,B,,Asia,19A,OL913104,,China,202035,Rodentia,Yan et al,,,,
EGY/EGY_CCHE57357_A_88/2020,7/17/20,,-0.01,,Egypt,Older,B,,Africa,19A,MW467480,,Egypt,202029,Homo sapiens,Hatem et al B,,,,
EGY/EGY_CCHE57357_A_70/2020,7/3/20,,0,,Egypt,Older,B,,Africa,19A,MW467475,,Egypt,202027,Homo sapiens,Hatem et al C,,,,
AUS/NT02/2020,2/22/20,,-0.01,,Australia,Older,B,,Oceania,19A,MT641646,,Northern Territory,202008,Homo sapiens,Caly et al G,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital,
MYS/NC793/2020,3/24/20,,-0.06,,Malaysia,Older,B.6,,Asia,19A,OK594605,,Malaysia,202013,Homo sapiens,Chan et al A,,,,
TWN/CGMH-CGU-27/2020,4/20/20,,0,,Taiwan,Older,B.6,,Asia,19A,MT517437,,Taiwan,202017,Homo sapiens,Tsao et al B,,,,
NZL/20CV0306/2020,3/31/20,,-0.06,,New Zealand,Older,B.6,,Oceania,19A,OK426616,,Whanganui,202014,Homo sapiens,Ren et al L,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
TLS/TL14/2020,4/13/20,,-0.06,,Timor-Leste,Older,B.6,,Asia,19A,MT641769,,Timor-Leste,202016,Homo sapiens,Caly et al H,,The Peter Doherty Institute for Infection and Immunity,"National Health Laboratory, Timor-Leste",
PHL/GS/2020,4/4/20,,-0.06,,Philippines,Older,B.6,,Asia,19A,MT919768,,Manila,202014,Homo sapiens,Velasco et al A,,,,
AUS/VIC1653/2020,5/15/20,,-0.06,,Australia,Older,B.6,,Oceania,19A,MT612243,,Victoria,202020,Homo sapiens,Caly et al I,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
GMB/GC19-026/2020,3/22/20,,-0.06,,Gambia,Older,B.6,,Africa,19A,MZ040129,,Gambia,202012,Homo sapiens,Kanteh et al A,,,,
NZL/21MV0118/2021,2/24/21,,-0.07,,New Zealand,Older,B.6.8,,Oceania,19A,OK433476,,New Zealand,202108,Homo sapiens,Ren et al M,,Institute of Environmental Science and Research,LabPLUS,
AUS/NT01/2020,2/22/20,,0.02,,Australia,Older,B,,Oceania,19A,MT641645,,Northern Territory,202008,Homo sapiens,Caly et al J,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital,
AUS/NT05/2020,2/25/20,,0,,Australia,Older,B.5,,Oceania,19A,MT641648,,Northern Territory,202009,Homo sapiens,Caly et al K,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital,
Japan/DP0059/2020,2/16/20,,0,,Japan,Older,B,,Asia,19A,LC570967,,Japan,202007,Homo sapiens,Sekizuka et al,,,,
AUS/NT04/2020,2/23/20,,0,,Australia,Older,B,,Oceania,19A,MT641647,,Northern Territory,202008,Homo sapiens,Caly et al L,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital,
IRN/HGRC-01-IPI-8206/2020,3/10/20,,-0.11,,Iran,Older,B.4,,Asia,19A,MT281530,,Iran,202011,Homo sapiens,Zeinali et al A,,,,
IRQ/IRQ-BAS2/2020,10/2/20,,-0.11,,Iraq,Older,B.4,,Asia,19A,MW546610,,Iraq,202040,Homo sapiens,Abu-Ali et al,,,,
TWN/CGMH-CGU-04/2020,2/28/20,,-0.15,,Taiwan,Older,B.4,,Asia,19A,MT370517,,Taiwan,202009,Homo sapiens,Tsao et al C,,,,
